words,freq
loss of,1948
of color,1948
ive got,1947
you might,1947
next year,1945
all this,1944
me for,1944
portion of,1943
in life,1942
say i,1942
left the,1938
the amount,1938
the public,1938
a personal,1937
at any,1937
told him,1935
your mind,1935
i called,1934
looking forward,1934
should have,1934
going back,1933
the edge,1932
can i,1930
a perfect,1928
do the,1928
have found,1928
my friend,1927
thought about,1927
every single,1926
was good,1923
really enjoyed,1921
helping them,1919
of young,1919
liked to,1918
go for,1917
likely to,1917
great to,1916
was always,1916
for our,1913
on with,1912
later i,1911
me as,1911
you really,1911
system and,1909
that when,1909
it its,1906
but as,1904
role in,1904
with many,1904
city of,1901
the modern,1901
me feel,1899
cant take,1898
see him,1898
away and,1897
for another,1897
this beer,1897
have all,1895
sure if,1895
fan of,1894
over a,1894
believe the,1893
this they,1892
someone is,1886
which has,1886
heres the,1884
myself to,1883
knew that,1882
story as,1880
to which,1880
but one,1877
it with,1877
my time,1877
woke up,1877
this may,1876
means that,1874
the girl,1874
and see,1871
new year,1871
was looking,1871
i learned,1870
youve been,1870
the moon,1869
they could,1869
of one,1868
making a,1866
time but,1866
were going,1863
time with,1862
feel so,1860
the cold,1859
i cannot,1858
never been,1858
anything that,1857
wife and,1854
and buy,1853
book of,1852
think its,1852
he wasnt,1851
on here,1851
can even,1850
to myself,1850
not having,1849
in may,1848
over her,1847
they didnt,1844
a kid,1841
to carry,1841
has given,1840
of mine,1839
kinds of,1838
enough for,1837
man in,1837
my son,1837
years to,1836
do so,1834
much more,1831
i worked,1829
south africa,1828
that makes,1826
of which,1825
your way,1825
on me,1824
would probably,1823
a hard,1822
a link,1822
give the,1821
the pictures,1821
the weekend,1820
within a,1819
something i,1818
guess i,1817
and look,1816
start with,1816
know why,1814
the highest,1813
we get,1812
a part,1810
a recent,1809
a sort,1809
back and,1807
people have,1807
the show,1807
many ways,1806
money from,1806
out that,1805
see my,1805
it did,1804
me about,1804
oh and,1804
it were,1800
i looked,1798
it took,1798
the week,1798
millions of,1797
or other,1797
the challenge,1796
ive really,1795
to face,1795
what would,1795
the short,1794
i suppose,1792
wish i,1792
the difference,1791
to apply,1791
the product,1790
not an,1789
powerful and,1789
much for,1788
already been,1786
do have,1786
friend and,1784
be there,1783
are many,1782
left to,1782
thats a,1782
help them,1781
to in,1781
make my,1780
probably the,1780
should not,1780
of marriage,1779
a girl,1774
it right,1774
article about,1772
life in,1771
all things,1770
me something,1769
my work,1768
a character,1766
something of,1766
us all,1765
will also,1765
in any,1764
the british,1764
one was,1763
the value,1762
value of,1761
joined by,1760
though it,1760
to build,1760
the studio,1759
myself and,1758
this weekend,1758
have any,1756
mean i,1756
elements of,1755
else i,1754
using a,1754
is when,1753
parking lot,1752
down in,1750
make this,1750
the effect,1750
youre doing,1750
my wife,1747
the st,1746
girl who,1745
the poor,1745
it from,1742
do all,1741
have for,1741
they make,1740
didnt get,1739
every one,1739
mom and,1739
have my,1738
he told,1738
was really,1738
the good,1737
way i,1737
any other,1736
attention to,1736
figure out,1736
knew the,1736
good for,1735
know more,1732
when people,1732
watching the,1731
who were,1731
a page,1729
its own,1729
walk the,1728
make some,1725
more like,1725
is on,1724
that but,1724
of control,1723
leave you,1721
the market,1721
the pleasure,1720
a card,1718
is being,1717
and once,1716
all those,1715
get there,1715
have an,1715
similar to,1715
about whether,1713
made of,1713
of last,1712
should give,1712
care of,1711
understand why,1711
be with,1710
created a,1710
less than,1710
a particular,1709
did get,1709
lot more,1709
my hair,1707
we cant,1706
becomes the,1705
edge of,1704
no exception,1704
tell her,1703
and fun,1702
decided that,1702
his friends,1702
the nose,1700
work on,1700
five years,1699
to drop,1698
start to,1696
goes to,1694
the flavour,1693
feel that,1692
nothing in,1692
say we,1690
always been,1687
has always,1686
